Red,Green,Blue
164,206,255
162,203,255
162,200,255
161,199,255
159,197,255
154,197,255
150,191,255
145,183,255
140,175,251
135,168,243
131,162,237
130,161,231
129,160,226
129,157,221
127,154,217
125,152,212
124,148,211
124,148,209
255,255,255
126,151,210
161,202,255
163,205,255
166,210,255
172,215,255
180,219,255
188,228,255
205,249,255
236,255,255
255,255,255
255,255,255
255,255,255
255,255,255
255,244,255
235,209,248
199,175,216
164,142,205
154,148,194
145,154,187
136,159,187
135,158,186
136,157,186
136,159,186
138,160,187
140,162,188
142,161,191
144,165,194
147,174,198
158,197,255
157,195,255
156,193,255
151,190,255
146,185,255
141,178,254
137,171,245
133,165,238
130,159,233
129,160,228
129,159,224
129,156,220
127,153,216
126,151,212
124,148,211
125,149,211
159,199,255
143,162,190
141,158,188
139,160,186
137,158,185
136,157,183
135,155,181
134,155,180
135,155,179
146,149,178
158,152,192
171,162,218
204,198,244
237,231,255
255,255,255
255,255,255
255,255,255
255,255,255
255,255,255
228,255,255
198,250,255
182,227,255
175,210,255
168,208,255
163,204,255
160,199,255
157,197,255
155,195,255
154,194,255
153,191,255
152,189,255
147,188,255
142,182,255
138,174,248
135,168,240
132,163,235
129,160,230
128,161,227
129,160,223
129,157,219
128,154,216
126,151,212
125,151,214
126,152,214
129,154,215
131,156,216
157,195,255
130,159,219
128,156,220
126,154,218
125,153,215
126,152,213
127,154,216
129,157,219
128,160,222
128,160,225
129,160,228
131,162,230
134,165,236
136,171,243
140,178,250
143,183,255
147,186,255
150,188,255
151,189,255
153,190,255
155,193,255
159,201,255
164,204,255
171,206,255
178,225,255
193,249,255
221,255,255
248,255,255
255,255,255
255,255,255
255,255,255
255,255,255
240,251,255
209,223,255
179,189,230
163,160,186
148,145,163
134,148,167
133,150,171
134,152,175
135,154,179
136,157,182
138,160,185
140,160,187
127,157,221
126,155,218
125,153,216
126,153,214
127,154,216
128,156,218
128,158,221
129,159,223
129,160,225
131,161,227
133,163,231
135,166,237
138,173,244
141,178,249
144,183,253
146,185,255
148,186,255
151,186,255
129,159,219
133,159,218
154,194,255
156,199,255
162,204,255
169,209,255
176,223,255
191,245,255
215,255,255
239,255,255
255,255,255
255,255,255
255,255,255
255,255,255
242,255,255
220,239,255
197,211,243
174,175,181
152,152,149
131,144,155
129,144,162
130,145,168
131,149,174
133,153,180
153,189,255
132,153,216
129,155,213
127,156,210
125,153,210
125,152,211
126,152,211
127,153,214
127,155,216
128,158,219
129,159,221
130,159,223
131,159,225
133,160,229
135,163,233
136,167,239
138,172,243
140,178,248
143,181,253
146,184,255
149,184,255
152,189,255
154,195,255
159,200,255
167,205,255
176,221,255
189,243,255
209,255,255
229,255,255
245,255,255
251,255,255
255,255,255
255,255,255
245,255,255
230,255,255
214,225,255
185,177,189
156,148,153
127,138,154
125,136,157
125,137,161
127,144,168
140,150,220
151,186,255
143,181,253
139,177,248
136,173,243
135,167,238
134,163,233
133,160,230
132,158,226
131,157,223
129,158,221
128,157,219
126,156,217
125,153,214
125,151,212
125,150,209
125,150,206
126,150,203
129,152,200
132,151,206
136,152,215
144,159,223
150,186,255
151,189,255
156,195,255
165,201,255
174,218,255
186,242,255
203,255,255
219,255,255
233,255,255
241,255,255
249,255,255
255,255,255
248,255,255
241,255,255
231,231,255
195,169,214
159,135,174
124,129,165
121,125,157
122,126,155
147,181,254
148,183,255
133,168,238
132,163,232
132,160,228
131,157,226
130,157,223
129,157,221
128,157,219
126,156,217
124,153,215
123,150,212
122,148,210
123,147,208
124,146,202
127,146,196
132,147,189
137,146,200
143,153,213
149,174,227
155,194,243
145,179,251
146,181,253
147,184,255
153,189,255
161,197,255
169,208,255
181,228,255
140,175,249
196,255,255
210,255,255
224,255,255
236,255,255
247,255,255
254,255,255
249,255,255
244,255,255
237,248,255
201,190,237
165,147,196
130,121,176
125,119,157
136,172,244
143,177,249
158,204,254
154,194,239
150,171,222
142,156,204
135,146,190
127,145,195
123,145,200
121,146,205
120,147,206
120,149,207
122,153,209
124,154,211
126,155,214
127,156,216
127,156,218
128,155,221
129,157,223
130,160,227
130,163,233
133,166,239
136,169,243
140,173,244
141,175,246
143,177,248
144,180,253
150,185,255
157,193,255
164,201,255
175,218,255
188,243,255
202,255,255
216,255,255
230,255,255
244,255,255
254,255,255
251,255,255
247,255,255
241,255,255
207,212,255
172,165,217
161,209,255
141,177,249
153,188,255
160,198,255
169,212,255
181,231,255
193,248,255
207,255,255
225,255,255
242,255,255
254,255,255
253,255,255
162,208,255
159,208,255
156,203,252
153,185,230
146,166,208
137,148,190
129,145,194
123,144,197
120,145,201
118,146,202
118,148,203
120,152,204
123,153,206
125,154,208
125,156,211
125,155,213
126,154,215
126,155,218
126,156,222
127,158,227
130,160,233
133,163,238
136,167,239
138,170,241
139,172,244
251,255,255
246,255,255
146,182,254
212,229,255
139,158,191
130,147,193
124,143,195
121,144,197
118,144,198
117,145,198
119,147,199
121,150,201
122,151,203
123,152,206
123,153,208
124,153,210
124,153,212
124,153,217
124,153,222
127,156,227
130,160,232
133,166,234
135,168,237
137,170,240
139,173,245
143,178,249
147,178,213
156,203,255
158,205,255
251,255,255
250,255,255
248,255,255
235,255,255
217,255,255
199,248,255
185,233,255
174,220,255
163,202,255
154,189,255
154,196,239
249,255,255
148,183,255
245,255,255
240,255,255
225,255,255
207,255,255
190,235,255
177,220,255
166,208,255
156,193,255
148,182,255
144,178,250
140,174,245
137,170,240
135,168,236
133,165,232
131,162,228
127,156,225
124,152,221
121,149,216
121,150,211
122,151,208
123,151,206
122,150,204
121,148,202
120,147,200
155,196,246
119,145,198
117,143,196
116,143,196
118,143,195
122,144,195
126,145,197
132,150,199
140,161,201
148,179,222
156,203,255
250,255,255
128,146,200
134,151,207
142,162,214
150,179,233
117,143,194
115,141,194
116,140,194
117,141,195
118,143,197
119,145,199
120,146,201
121,148,203
120,149,205
119,149,207
118,148,210
122,148,214
125,151,218
128,158,221
131,162,226
132,166,230
134,168,235
137,171,240
140,175,245
143,181,254
150,190,255
159,202,255
168,214,255
181,227,255
199,244,255
216,255,255
231,255,255
241,255,255
122,144,194
144,168,227
208,255,255
191,235,255
174,219,255
162,206,255
155,196,255
147,186,255
141,178,249
138,172,240
135,168,235
132,165,230
130,162,225
138,150,215
127,159,220
125,155,215
122,149,210
120,147,206
117,148,204
118,147,203
118,147,201
119,146,200
118,143,198
117,141,196
116,138,195
115,138,193
115,139,191
115,140,192
118,141,193
125,141,194
132,142,204
143,156,222
116,143,196
136,143,205
127,138,190
119,139,190
115,139,190
114,137,190
113,135,190
113,135,191
114,136,193
115,140,194
116,144,198
117,145,199
117,147,199
119,146,200
120,147,203
125,155,215
127,158,220
131,162,225
134,166,229
137,169,235
141,174,244
146,182,253
153,191,255
159,199,255
170,211,255
185,227,255
122,152,209
122,148,210
111,133,188
112,132,188
113,135,189
114,139,192
115,140,194
115,141,195
116,142,196
117,141,197
118,142,200
119,145,205
125,153,215
129,157,221
133,161,226
137,165,232
141,172,241
146,180,250
151,189,255
156,196,255
165,206,255
113,136,189
115,136,187
120,135,186
130,134,184
112,134,189
140,169,239
153,193,255
148,185,255
144,178,248
112,133,185
135,163,230
131,158,223
126,153,217
123,147,210
120,143,205
124,137,181
118,134,185
115,135,189
112,133,187
111,131,185
111,131,184
117,139,201
112,136,188
113,137,190
114,139,191
115,140,192
116,138,193
116,138,196
113,139,189
141,174,245
136,167,237
131,161,227
126,156,220
122,151,213
119,144,206
117,138,201
115,133,197
114,134,193
112,137,188
112,135,186
111,135,183
111,132,181
111,130,180
111,130,183
114,132,185
118,134,188
114,137,190
127,159,222
122,154,214
118,146,207
116,140,201
111,127,177
115,136,196
114,133,193
113,134,190
112,135,187
111,136,187
110,134,185
110,132,184
110,131,181
115,134,184
112,130,181
132,163,231
110,129,179
123,156,215
118,150,208
114,142,201
114,137,196
114,134,191
114,133,189
112,133,187
110,133,185
109,133,185
109,131,183
109,130,181
109,129,179
110,127,177
111,127,175
113,131,179
117,143,202
114,138,196
113,135,190
113,133,187
113,133,186
112,133,185
110,132,184
108,129,181
108,128,180
108,127,177
109,127,174
108,130,183
111,132,181
113,132,182
113,132,183
113,133,186
107,129,179
106,128,178
106,127,176
106,126,175
109,131,180
112,130,180
113,131,179
110,132,177
108,131,176
105,129,175
105,127,173
109,129,174
108,127,172
105,126,171
111,129,175
108,126,171
107,125,169
71,76,90
93,102,120
94,108,123
94,110,122
95,105,119
91,102,115
86,97,111
81,92,106
78,87,101
76,81,96
73,78,93
90,102,117
81,95,109
79,94,106
78,88,101
76,82,97
74,79,92
72,77,90
69,76,88
69,74,87
70,74,87
70,74,89
72,77,92
92,103,123
92,108,127
93,110,127
93,108,122
81,95,111
85,96,112
80,91,106
77,86,100
75,80,94
82,102,119
82,101,115
79,94,111
77,88,105
75,83,100
73,79,94
71,77,90
69,77,88
70,75,87
70,74,86
70,73,88
73,79,93
75,85,99
79,90,106
83,94,113
87,102,119
91,110,124
90,107,130
90,104,130
71,75,90
84,101,117
83,97,112
79,90,107
76,84,102
74,80,96
72,75,91
71,74,88
70,75,87
70,74,86
69,74,86
88,100,123
88,101,123
88,100,118
69,73,87
70,75,89
72,77,90
74,81,96
77,85,102
81,88,109
85,94,113
83,102,121
86,95,115
86,92,112
84,104,117
84,98,112
83,92,107
79,85,102
75,80,97
72,76,92
72,72,88
71,71,85
70,72,84
70,73,85
69,74,86
69,73,86
70,74,87
72,75,88
73,78,93
76,81,98
79,83,104
85,97,116
82,88,108
74,77,92
83,86,105
80,83,103
77,81,100
74,79,95
72,76,90
71,74,86
70,73,86
69,73,86
69,73,86
70,73,85
71,72,83
82,95,112
82,91,107
80,87,101
77,81,96
83,90,108
72,73,88
71,72,84
71,71,82
81,86,108
80,84,104
78,82,102
75,79,98
72,77,94
71,75,89
70,72,84
70,72,85
69,73,86
70,74,87
70,74,86
71,73,84
81,89,104
80,87,107
79,84,102
78,81,97
75,78,92
71,73,83
71,72,86
73,75,89
71,73,83
79,83,103
78,80,102
77,79,98
79,83,109
78,86,105
75,77,93
75,82,102
73,78,99
71,76,94
70,73,89
70,70,84
69,71,85
69,73,87
70,75,88
71,76,88
71,76,87
71,76,86
70,75,85
70,73,86
71,73,87
73,74,88
72,73,84
81,84,101
79,81,99
77,77,94
70,73,89
72,77,94
75,82,99
78,88,103
81,93,107
69,71,83
69,71,86
69,72,88
69,75,90
70,78,90
70,79,90
70,77,89
70,74,87
69,73,86
71,72,84
74,74,89
85,98,108
86,90,107
84,86,101
80,83,96
77,77,91
74,73,87
72,72,81
70,71,82
69,72,85
69,73,89
69,76,90
70,81,91
69,79,91
68,75,91
68,72,88
68,71,85
69,71,82
71,74,88
73,78,94
77,86,99
81,93,103
79,91,99
90,100,113
87,93,108
82,88,102
78,80,95
74,75,88
72,71,82
70,70,82
68,70,83
68,70,86
69,72,87
69,76,88
68,76,88
67,75,87
67,72,84
68,71,82
69,70,80
71,75,87
74,81,93
84,96,103
69,69,81
91,107,119
88,99,113
82,90,107
78,83,99
74,77,91
71,71,82
78,89,99
67,68,82
67,69,83
67,70,84
